npi,review_count,business_name,all_rates,score,location
1326115692,53.0,BRONXCARE HEALTH SYSTEM,330.97,1.9,NYC
1417982539,9.0,"VERRAZANO RADIOLOGY ASOCIATES, PC",1365.41,4.0,NYC
1366490104,36.0,ADVANCED RADIOLOGICAL IMAGING-ASTORIA PC,390.23,2.1,NYC
1780071548,18.0,ISLAND MUSCULOSKELETAL CARE MD PC,348.94,1.1,NYC
1053423517,16.0,"ISLAND MUSCULOSKELETAL CARE, M.D., P.C.",348.94,2.1,NYC
1942303839,18.0,"ISLAND MUSCULOSKELETAL CARE, M.D., P.C.",348.94,1.1,NYC
1134231566,5.0,"ISLAND MUSCULOSKELETAL CARE, M.D., P.C.",348.94,2.2,NYC
1184852741,15.0,MADISON AVENUE RADIOLOGY PC,372.56,2.8,NYC
1780676593,114.0,"PARK AVENUE RADIOLOGISTS, P.C.",372.56,2.5,NYC
1699289488,63.0,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,1985.38,2.3,NYC
1518997204,201.0,WYCKOFF IMAGING SERVICES PC,348.94,1.7,NYC
1427051689,14.0,"NARROWS MRI AND DIAGNOSTIC RADIOLOGY, PC",348.94,3.1,NYC
1851893317,20.0,MAIN STREET RADIOLOGY AT BAYSIDE LLC,907.67,3.7,NYC
1780771634,72.0,MAIN STREET RADIOLOGY AT BAYSIDE LLC,907.67,3.3,NYC
1598852469,82.0,MAIN STREET RADIOLOGY AT BAYSIDE LLC,907.67,3.4,NYC
1376814863,17.0,APOLLO MEDICAL DIAGNOSTIC SERVICES PLLC,390.23,1.6,NYC
1497771687,22.0,MIDDLE VILLAGE DIAGNOSTIC IMAGING PC,390.23,2.3,NYC
1255422309,1.0,"BROMER MEDICAL, PC",349.92,1.0,NYC
1821036807,316.0,"LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES, PC",1235.6,2.0,NYC
1790736551,84.0,CP ADVANCED IMAGING PLLC,397.46,2.6,NYC
1184888745,5.0,HEALTHCARE ASSOCIATES IN MEDICINE PC,644.9,3.6,NYC
1295788917,6.0,"EAST MANHATTAN DIAGNOSTIC IMAGING, P.C.",1084.62,4.2,NYC
1922051630,7.0,"EAST MANHATTAN DIAGNOSTIC IMAGING, P.C.",1084.62,3.7,NYC
1053362699,19.0,MARINE PARK RADIOLOGY PC,396.62,2.2,NYC
1821016692,1.0,DOCS PHYSICIANS AFFILIATED WITH BIMC,1112.3,5.0,NYC
1811948284,254.0,MAIMONIDES MEDICAL CENTER - MMC RADIOLOGY FPP,645.77,1.9,NYC
1902820335,79.0,BROOKDALE HOSPITAL MEDICAL CENTER,428.06,1.6,NYC
1457643991,6.0,"INTERFAITH PROFESSIONAL PHYSICIAN SERVICES, P.C.",428.06,1.0,NYC
1134152705,21.0,"BAYRIDGE MEDICAL IMAGING, P.C.",996.05,2.3,NYC
1376580720,200.0,BROOKLYN HOSPITAL RADIOLOGY P C,428.06,2.0,NYC
1902089402,3.0,EMPIRE MEDICAL OF ROCKAWAY BEACH PC,317.3,1.0,NYC
1881644250,16.0,"ALPHA NEUROLOGY,PC",385.43,2.3,NYC
1508049735,22.0,ADVANTAGE RADIOLOGY. PC,385.43,2.2,NYC
1821108804,54.0,EMPIRE MEDICAL GROUP OF NEW YORK PC,352.08,1.4,NYC
1902998156,10.0,"STAND-UP MRI OF QUEENS, P.C.",352.08,3.1,NYC
1558336420,6.0,"STAND-UP MRI OF EAST ELMHURST, PC",352.08,3.2,NYC
1447430152,22.0,WEILL CORNELL IMAGING AT NEW YORK PRESBYTERIAN,1853.15,2.6,NYC
1083649420,10.0,NEW YORK RADIOLOGY ASSOCIATES,372.56,1.4,NYC
1396929352,14.0,EASTSIDE MEDICAL RADIOLOGY PLLC,372.56,3.6,NYC
1588639553,8.0,"STAND-UP MRI OF STATEN ISLAND, PC",348.94,4.0,NYC
1093780058,2.0,"STAND-UP MRI OF BENSONHURST, PC",348.94,5.0,NYC
1619068954,12.0,"STAND-UP MRI OF THE BRONX, P.C.",348.94,2.8,NYC
1124110440,47.0,"STAND-UP MRI OF BROOKLYN, P.C.",348.94,2.5,NYC
1275705840,176.0,"CHELSEA DIAGNOSTIC RADIOLOGY ,P.C",417.89,2.2,NYC
1780787796,9.0,MOUNT SINAI SCHOOL OF MEDICINE,1243.37,1.1,NYC
1588775654,7.0,"CANAL RADIOLOGY ASSOCIATES, P.C.",1059.8,2.1,NYC
1417906462,41.0,"PROFESSIONAL RADIOLOGY SERVICES, P.C.",1176.09,1.9,NYC
1881646909,6.0,"CALIFORNIA ADVANCED IMAGING MEDICAL ASSOCIATES, INC.",475.94,2.3,SF Bay Area
1871731299,1.0,"EAST BAY SPECIAL IMAGING MEDICAL GROUP, INC.",556.59,4.0,SF Bay Area
1154790772,32.0,SILVER CREEK RADIOLOGY PROFESSIONAL CORPORATION,556.59,1.9,SF Bay Area
1063487122,2.0,UNIVERSITY OF CALIFORNIA SFGH MEDICAL GROUP,1204.73,3.0,SF Bay Area
1649596792,9.0,"OMNIRAD MEDICAL GROUP, INC.",725.33,1.0,SF Bay Area
1477590081,23.0,"CENTRAL OREGON RADIOLOGY ASSOC., P.C.",889.63,2.9,SF Bay Area
1811940661,28.0,SOLANO DIAGNOSTICS PARTNERS A CALIF LIMITED PARTNERSHIP,867.43,1.9,SF Bay Area
1134342371,19.0,WELCH ROAD IMAGING,719.31,3.4,SF Bay Area
1487040770,35.0,"MAGNETIC IMAGING AFFILIATES, LLC",2393.29,3.1,SF Bay Area
1871538769,2.0,SUTTER EAST BAY MEDICAL FOUNDATION,2393.29,1.0,SF Bay Area
1629265806,33.0,"SILICON VALLEY DIAGNOSTIC IMAGING, INC.",870.56,1.0,SF Bay Area
1114972155,23.0,CENTRAL OREGON MAGNETIC RESONANCE IMAGING LLC,1475.29,2.9,SF Bay Area
1356352660,9.0,"RADIOLOGICAL ASSOCIATES MEDICAL GROUP, INC",899.01,1.0,SF Bay Area
1366420879,1.0,"LUMINIS HEALTH IMAGING, INC.",626.7,1.0,SF Bay Area
1053460188,4.0,PITTSBURG OPEN MRI,823.53,5.0,SF Bay Area
1164478277,12.0,VALLEJO OPEN MRI CENTER,823.53,3.6,SF Bay Area
1548345382,124.0,RADNET MEDICAL IMAGING - SAN FRANCISCO,823.53,3.2,SF Bay Area
1689890444,58.0,SANTA ROSA IMAGING MEDICAL CENTER,823.53,2.5,SF Bay Area
1730203316,261.0,NORCAL IMAGING,823.53,2.0,SF Bay Area
1376667022,141.0,NORCAL IMAGING,823.53,2.6,SF Bay Area
1013031772,90.0,NORCAL IMAGING,823.53,2.5,SF Bay Area
1235184110,7.0,JOHN MUIR MAGNETIC IMAGING CENTER,1534.79,2.4,SF Bay Area
1508009846,1.0,ALTA CT SERVICES A CALIFORNIA LIMITED PARTNERSHIP,2772.87,5.0,SF Bay Area
1730143447,20.0,SOUTH VALLEY IMAGING LLC,396.62,3.4,SF Bay Area
1023015252,16.0,MEDICAL INSIGHTS DIAGNOSTIC,396.62,3.9,SF Bay Area
1437292927,650.0,STANFORD HEALTH CARE,2668.62,2.2,SF Bay Area
1336305168,10.0,HILLTOP RADIOLOGY LLC,445.27,2.6,SF Bay Area
1326461708,7.0,REDWOOD RADIOLOGY GROUP INC,396.62,2.6,SF Bay Area
1639217904,9.0,"PET-CT IMAGING OF BERKELEY, LLC",396.62,3.2,SF Bay Area
1447241302,29.0,INVIEW IMAGING MEDICAL CORPORATION,436.28,3.2,SF Bay Area
1386937191,69.0,"PLEASANTON DIAGNOSTIC IMAGING, INC.",1158.57,2.9,SF Bay Area
